Symbol,Series,Security Name,Band,Remarks
AARTIIND,EQ,Aarti Industries Limited,20,-
AARVEEDEN,EQ,Aarvee Denims & Exports Limited,20,-
ABAN,EQ,Aban Offshore Limited,20,-
ABB,EQ,ABB India Limited,20,-
ABBOTINDIA,EQ,Abbott India Limited,20,-
ABFRL,EQ,Aditya Birla Fashion and Retail Limited,20,-
ABNINT,IT,A B N Intercorp Limited,20,-
ACCELYA,EQ,Accelya Kale Solutions Limited,20,-
ACE,EQ,Action Construction Equipment Limited,20,-
ADFFOODS,EQ,ADF Foods Limited,20,-
ADHUNIK,EQ,Adhunik Metaliks Limited,20,-
ADHUNIKIND,EQ,Adhunik Industries Limited,20,-
ADLABS,EQ,Adlabs Entertainment Limited,20,-
ADORWELD,EQ,Ador Welding Limited,20,-
ADVANIHOTR,EQ,Advani Hotels & Resorts (India) Limited,20,-
ADVENZYMES,EQ,Advanced Enzyme Technologies Limited,20,NIFTY Smallcap 50/NIFTY Full Smallcap 100/NIFTY Free float Smallcap 100
AEGISCHEM,EQ,Aegis Logistics Limited,20,NIFTY Free float Smallcap 100
AGCNET,EQ,AGC Networks Limited,20,-
AGROPHOS,SM,Agro Phos India Limited,20,-
AHIMSA,SM,Ahimsa Industries Limited,20,-
AHLEAST,EQ,Asian Hotels (East) Limited,20,-
AHLUCONT,EQ,Ahluwalia Contracts (India) Limited,20,-
AHLWEST,EQ,Asian Hotels (West) Limited,20,-
AIAENG,EQ,AIA Engineering Limited,20,-
AIFL,EQ,Ashapura Intimates Fashion Limited,20,-
AJMERA,EQ,Ajmera Realty & Infra India Limited,20,-
AKASH,SM,Akash Infra Projects Limited,20,-
AKSHARCHEM,EQ,AksharChem India Limited,20,-
AKSHOPTFBR,EQ,Aksh Optifibre Limited,20,-
AKZOINDIA,EQ,Akzo Nobel India Limited,20,-
ALANKIT,EQ,Alankit Limited,20,-
ALBERTDAVD,EQ,Albert David Limited,20,-
ALCHEM,EQ,Alchemist Limited,20,-
ALEMBICLTD,EQ,Alembic Limited,20,-
ALICON,EQ,Alicon Castalloy Limited,20,-
ALKALI,EQ,Alkali Metals Limited,20,-
ALKEM,EQ,Alkem Laboratories Limited,20,-
ALKYLAMINE,EQ,Alkyl Amines Chemicals Limited,20,-
ALLCARGO,EQ,Allcargo Logistics Limited,20,-
ALLSEC,EQ,Allsec Technologies Limited,20,-
ALMONDZ,EQ,Almondz Global Securities Limited,20,-
ALOKTEXT,EQ,Alok Industries Limited,20,-
ALPHAGEO,EQ,Alphageo (India) Limited,20,-
ALPSINDUS,EQ,Alps Industries Limited,20,-
AMBIKCO,EQ,Ambika Cotton Mills Limited,20,-
