25/05/2017
SCRIP CODE	SCRIP NAME	CAPITAL(No. of shares in lacs)
504614	Sarda Energy & Minerals Ltd	360.30398
504621	Bihar Foundry & Castings Ltd.	4.50000
504629	Anil Special Steel Industries 	255.71788
504643	BWL Limited	70.00000
504646	Bhagwati Autocast Limited	28.80684
504648	Bombay Wire Ropes Ltd.	53.39500
504671	Chase Bright Steel Co. Ltd.	16.75000
504673	Universal Prime Aluminium Ltd	79.67443
504697	Galada Power & Communication L	74.89880
504701	Gontermann Peipers (India) Ltd	222.35000
504707	Graham Firth Steel Products Lt	13.48000
504713	Hindustan Wires Ltd.	98.20000
504717	Steel Strips Ltd.	82.83103
504731	Indian Bright Steel Co. Ltd.	10.00000
504741	Indian Hume Pipe Co. Ltd.	484.47170
504746	Indian Link Chain Mnfrs. Ltd.	0.50000
504784	Indore Wire Co. Ltd.	17.60000
504786	Investment & Precision Casting	50.00000
504810	Informed Technologies India Lt	41.69100
504840	Kaira Can Co. Ltd.	9.22133
504864	Orissa Sponge Iron And Steel L	240.00000
504879	Orient Abrasives Ltd.	1196.39200
504882	National Standard (India) Limi	200.00000
504896	Rathi Ispat Ltd.	80.17600
504903	Rathi Steel & Power Ltd	313.08111
504908	Duncan Engineering Limited	36.96000
504918	Sandur Manganese & Iron Ores L	87.50000
504920	Jhagadia Copper Limited	1241.66101
504959	Stovec Industries Ltd.	20.88016
504960	Stewarts & Lloyds of India Ltd	30.00000
504961	Tayo Rolls Ltd.	102.60935
504966	Tinplate Company of India Ltd.	1046.67638
504973	Tube Investments of India Ltd.	1874.47871
504988	Welcast Steels Ltd.	6.39575
504991	Vidarbha Iron & Steel Corpn. L	10.00000
504998	Western Ministil Ltd.	21.57186
505010	Automotive Axles Ltd.	151.11975
505029	Atlas Cycles (Haryana) Ltd.	32.50000
505032	Automobile Products of India L	31.20000
505036	Automobile Corpn. of Goa Ltd.	64.21622
505052	Clutch Auto Ltd.	187.58880
505075	Setco Automotive Limited	1335.96675
505100	India Radiators Ltd.	9.00000
505141	Scooters India Ltd.	429.92255
505160	Talbros Automotive Components 	123.45630
505163	Z.F. Steering Gear (India) Lim	90.73300
505192	SML ISUZU LIMITED	144.71646
505196	TIL Ltd.	100.30135
505200	Eicher Motors Ltd.	272.22049
505212	JAINEX AAMCOL LTD.	14.96338
505216	Alfred Herbert (India) Ltd.	7.71429
505230	Cimmco Ltd	201.48526
