ScripCode,Scrip ID,Scrip Group,ScripName,Close Price,Daily Upper Value,Daily Lower Value,Weekly Upper Value,Weekly Lower Value,Monthly Upper Value,Monthly Lower Value,Quarterly Upper Value,Quarterly Lower Value,Yearly Upper Value,Yearly Lower Value,Final Upper Value,Final Lower Value,Filler1,Filler2,Filler3,Filler4,Filler5
507962,RAJATH,XD,RAJATH FINANCE LIMITED,723,759,687,0,0,0,0,1402,290,3574,1,759,687,,,,,
507966,RASRESOR,XD,RAS RESORTS & APART HOTELS LTD,4600,4830,4370,0,0,0,0,8115,1675,10610,5,4830,4370,,,,,
507970,PARMCOS-B,XT,PARAMOUNT COSMETICS (INDIA) LT,3525,3700,3350,0,0,0,0,6205,1280,10735,5,3700,3350,,,,,
507981,JINDHOT,XD,JINDAL HOTELS LTD.,4800,5760,3840,0,0,0,0,16700,5,21215,5,5760,3840,,,,,
507987,JPTRLES,P,JUPITER INDUSTRIES & LEASING L,427,448,406,0,0,0,0,828,171,1041,1,448,406,,,,,
507998,SIMMOND,XD,SIMMONDS MARSHALL LTD.,8660,10390,6930,0,0,0,0,31125,5,54750,5,10390,6930,,,,,
508136,BNALTD,XT,B & A LTD.,23220,24380,22060,0,0,0,0,81545,5,92450,5,24380,22060,,,,,
508306,LEDOTEA,XD,LEDO TEA CO.LTD.,7850,8240,7460,0,0,0,0,15325,3160,19825,5,8240,7460,,,,,
508494,WARRENTEA,XC,WARREN TEA LTD.,12335,14800,9870,0,0,0,0,41830,5,63890,5,14800,9870,,,,,
508571,COCHMAL,XD,COCHIN MALABAR ESTATES & INDUS,3255,3415,3095,0,0,0,0,5595,1155,6100,5,3415,3095,,,,,
508664,BESTEAST,XT,BEST EASTERN HOTELS LTD.,6450,6770,6130,0,0,0,0,14070,2905,35250,5,6770,6130,,,,,
508670,NEAGI,P,NEELAMALAI AGRO INDUSTRIES LTD,139000,145950,132050,0,0,0,0,194775,40160,242780,5,145950,132050,,,,,
508807,ISTLTD,XC,IST LTD.,81135,85190,77080,0,0,0,0,150350,31000,167140,5,85190,77080,,,,,
508860,DIAMANT,XT,DIAMANT INFRASTRUCTURE LIMITED,124,126,122,0,0,0,0,124,26,175,1,124,122,,,,,
508867,NEWMKTADV,XT,NEW MARKETS ADVISORY LTD.,910,928,892,0,0,0,0,1492,637,1765,455,928,892,,,,,
508875,NITINCAST,XT,Nitin Castings Limited,12520,13145,11895,0,0,0,0,20330,4195,13905,5,13145,11895,,,,,
508900,ZENCAP,XT,ZENITH CAPITALS LTD.,11685,12265,11105,0,0,0,0,23280,4800,31060,5,12265,11105,,,,,
508905,SMIFS,XD,SMIFS CAPITAL MARKETS LTD.,4460,4680,4240,0,0,0,0,8730,1800,19040,5,4680,4240,,,,,
508918,GREYCELLS,XD,GREYCELLS EDUCATION LIMITED,3100,3255,2945,0,0,0,0,5820,1200,8075,5,3255,2945,,,,,
508922,MSRINDIA,XT,MSR INDIA LTD.,4090,4290,3890,0,0,0,0,6340,1310,34295,5,4290,3890,,,,,
508939,BLCISER,XD,BLUE CIRCLE SERVICES LTD.,395,402,388,0,0,0,0,654,280,766,198,402,388,,,,,
508941,PANCARBON,XC,PANASONIC CARBON INDIA CO.LTD.,44375,53250,35500,0,0,0,0,162855,5,267130,5,53250,35500,,,,,
508954,FINKURVE,XT,FINKURVE FINANCIAL SERVICES LT,2715,2850,2580,0,0,0,0,6090,1260,4840,5,2850,2580,,,,,
